P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
S01	S02	S00	0.6	3.04519e-314	nan	0.00740626	97.5	4	1
S01	S00	S03	0.333333	0.91084	0.36238	0.00846785	78	8	4
S01	S00	S04	0.230769	0.656781	0.511322	0.00627123	80	8	5
S01	S00	S05	0.333333	0.948683	0.342782	0.0112644	78	10	5
S01	S00	S06	0.333333	0.948683	0.342782	0.0109111	78	10	5
S01	S00	S07	0.333333	0.948683	0.342782	0.0105848	78	10	5
S00	S01	S08	0	0	1	0	96	3	3
S00	S01	S09	0.6	3.0452e-314	nan	0.00630832	97	4	1
S00	S01	S10	0	0	1	0	95	3	3
S01	S00	S11	0.25	0.592927	0.55323	0.00414239	96	5	3
S01	S00	S12	0.142857	0.291606	0.770588	0.00197848	98	4	3
S01	S00	S13	0.142857	0.291606	0.770588	0.00197458	97	4	3
S01	S00	S14	0.142857	0.291606	0.770588	0.00223464	97	4	3
S01	S00	S15	0.142857	0.291606	0.770588	0.00195575	97	4	3
S01	S00	S16	0.142857	0.291606	0.770588	0.00207846	97	4	3
S01	S00	S17	0.142857	0.291606	0.770588	0.00200929	97	4	3
S01	S00	S18	0.142857	0.291606	0.770588	0.00214362	97	4	3
S01	S00	S19	0.142857	0.291606	0.770588	0.00207496	97	4	3
S02	S00	S03	0.2	0.61101	0.541193	0.00636436	82	9	6
S02	S00	S04	0.125	0.395014	0.692833	0.00418958	84	9	7
S02	S00	S05	0.125	0.395014	0.692833	0.00453643	80	9	7
S02	S00	S06	0.125	0.395014	0.692833	0.00439319	80	9	7
S02	S00	S07	0.125	0.395014	0.692833	0.00426099	80	9	7
S00	S02	S08	0	0	1	0	99	3	3
S00	S02	S09	0.6	3.0452e-314	nan	0.00630832	100	4	1
S00	S02	S10	0	0	1	0	98	3	3
S02	S00	S11	0.25	0.592927	0.55323	0.00414239	99	5	3
S02	S00	S12	0.142857	0.291606	0.770588	0.00197848	101	4	3
S02	S00	S13	0.142857	0.291606	0.770588	0.00197458	100	4	3
S02	S00	S14	0.142857	0.291606	0.770588	0.00223464	100	4	3
S02	S00	S15	0.142857	0.291606	0.770588	0.00195575	100	4	3
S02	S00	S16	0.142857	0.291606	0.770588	0.00207846	100	4	3
S02	S00	S17	0.142857	0.291606	0.770588	0.00200929	100	4	3
S02	S00	S18	0.142857	0.291606	0.770588	0.00214362	100	4	3
S02	S00	S19	0.142857	0.291606	0.770588	0.00207496	100	4	3
S04	S03	S00	0.5	3.04519e-314	nan	0.00419232	113	3	1
S03	S05	S00	0.5	3.04519e-314	nan	0.00420997	119	3	1
S03	S06	S00	0.5	3.04519e-314	nan	0.00420997	119	3	1
S03	S07	S00	0.5	3.04519e-314	nan	0.00420997	119	3	1
S03	S00	S08	0.310345	1.07241	0.283536	0.0187476	42	19	10
S03	S00	S09	0.2	0.716819	0.473486	0.0124594	44	18	12
S10	S03	S00	0.333333	2.21256	0.0269278	0.04426	8	44	22
S03	S00	S11	0.212121	0.791175	0.428842	0.0143498	41	20	13
S03	S00	S12	0.266667	0.884433	0.376462	0.0156117	43	19	11
S03	S00	S13	0.266667	0.884433	0.376462	0.0155813	42	19	11
S03	S00	S14	0.266667	0.884433	0.376462	0.0176018	42	19	11
S03	S00	S15	0.266667	0.884433	0.376462	0.0154347	42	19	11
S03	S00	S16	0.266667	0.884433	0.376462	0.0163892	42	19	11
S03	S00	S17	0.266667	0.884433	0.376462	0.0158514	42	19	11
S03	S00	S18	0.266667	0.884433	0.376462	0.0168955	42	19	11
S03	S00	S19	0.266667	0.884433	0.376462	0.016362	42	19	11
S00	S04	S05	0.956044	3.0452e-314	nan	0.396468	0	178	4
S00	S04	S06	0.954802	3.0452e-314	nan	0.372863	0	173	4
S00	S04	S07	0.955056	3.0452e-314	nan	0.363734	0	174	4
S08	S04	S00	0.368421	2.27898	0.0226685	0.0421634	7	39	18
S04	S00	S09	0.307692	0.976307	0.328912	0.0165439	41	17	9
S10	S04	S00	0.322581	2.05747	0.0396412	0.0402364	5	41	21
S11	S04	S00	0.322034	1.81756	0.0691308	0.0383016	10	39	20
S12	S04	S00	0.37931	2.34145	0.0192088	0.0440827	8	40	18
S13	S04	S00	0.368421	2.17301	0.0297793	0.0421634	8	39	18
S14	S04	S00	0.368421	2.17301	0.0297793	0.0421634	8	39	18
S15	S04	S00	0.368421	2.17301	0.0297793	0.0421634	8	39	18
S16	S04	S00	0.368421	2.17301	0.0297793	0.0421634	8	39	18
S17	S04	S00	0.368421	2.17301	0.0297793	0.0421634	8	39	18
S18	S04	S00	0.368421	2.17301	0.0297793	0.0421634	8	39	18
S19	S04	S00	0.368421	2.17301	0.0297793	0.0421634	8	39	18
						3.04519e-314			
						3.04519e-314			
S08	S05	S00	0.409836	2.53516	0.0112396	0.0501945	7	43	18
S05	S00	S09	0.307692	0.976307	0.328912	0.0165439	45	17	9
S10	S05	S00	0.363636	2.45943	0.0139157	0.0482837	5	45	21
S05	S00	S11	0.310345	1.08681	0.277123	0.0183744	42	19	10
S05	S00	S12	0.384615	1.17764	0.23894	0.0194387	44	18	8
S05	S00	S13	0.384615	1.17764	0.23894	0.019401	43	18	8
S05	S00	S14	0.384615	1.17764	0.23894	0.0219058	43	18	8
S05	S00	S15	0.384615	1.17764	0.23894	0.0192192	43	18	8
S05	S00	S16	0.384615	1.17764	0.23894	0.020403	43	18	8
S05	S00	S17	0.384615	1.17764	0.23894	0.019736	43	18	8
S05	S00	S18	0.384615	1.17764	0.23894	0.0210305	43	18	8
S05	S00	S19	0.384615	1.17764	0.23894	0.0203692	43	18	8
						3.04519e-314			
S08	S06	S00	0.409836	2.53516	0.0112396	0.0501945	7	43	18
S06	S00	S09	0.307692	0.976307	0.328912	0.0165439	45	17	9
S10	S06	S00	0.363636	2.45943	0.0139157	0.0482837	5	45	21
S06	S00	S11	0.310345	1.08681	0.277123	0.0183744	42	19	10
S06	S00	S12	0.384615	1.17764	0.23894	0.0194387	44	18	8
S06	S00	S13	0.384615	1.17764	0.23894	0.019401	43	18	8
S06	S00	S14	0.384615	1.17764	0.23894	0.0219058	43	18	8
S06	S00	S15	0.384615	1.17764	0.23894	0.0192192	43	18	8
S06	S00	S16	0.384615	1.17764	0.23894	0.020403	43	18	8
S06	S00	S17	0.384615	1.17764	0.23894	0.019736	43	18	8
S06	S00	S18	0.384615	1.17764	0.23894	0.0210305	43	18	8
S06	S00	S19	0.384615	1.17764	0.23894	0.0203692	43	18	8
S08	S07	S00	0.409836	2.53516	0.0112396	0.0501945	7	43	18
S07	S00	S09	0.307692	0.976307	0.328912	0.0165439	45	17	9
S10	S07	S00	0.363636	2.45943	0.0139157	0.0482837	5	45	21
S07	S00	S11	0.310345	1.08681	0.277123	0.0183744	42	19	10
S07	S00	S12	0.384615	1.17764	0.23894	0.0194387	44	18	8
S07	S00	S13	0.384615	1.17764	0.23894	0.019401	43	18	8
S07	S00	S14	0.384615	1.17764	0.23894	0.0219058	43	18	8
S07	S00	S15	0.384615	1.17764	0.23894	0.0192192	43	18	8
S07	S00	S16	0.384615	1.17764	0.23894	0.020403	43	18	8
S07	S00	S17	0.384615	1.17764	0.23894	0.019736	43	18	8
S07	S00	S18	0.384615	1.17764	0.23894	0.0210305	43	18	8
S07	S00	S19	0.384615	1.17764	0.23894	0.0203692	43	18	8
S09	S08	S00	0.6	3.04519e-314	nan	0.00598728	83	4	1
S08	S10	S00	0.111111	0.303613	0.761422	0.00200778	69	5	4
S08	S11	S00	0.142857	0.407718	0.683481	0.00401556	43	8	6
S12	S08	S00	0.0666667	0.164992	0.868951	0.00200376	38	8	7
S13	S08	S00	0	0	1	0	37	7	7
S14	S08	S00	0	0	1	0	37	7	7
S15	S08	S00	0	0	1	0	38	7	7
S16	S08	S00	0	0	1	0	37	7	7
S17	S08	S00	0	0	1	0	37	7	7
S18	S08	S00	0	0	1	0	37	7	7
S19	S08	S00	0	0	1	0	37	7	7
S09	S10	S00	0.4	1.34508	0.178601	0.00798304	75	7	3
S09	S11	S00	0.294118	1.13448	0.256593	0.0099788	42	11	6
S09	S12	S00	0.111111	0.291667	0.770541	0.00399152	41	10	8
S09	S13	S00	0.176471	0.463235	0.643196	0.00598728	40	10	7
S09	S14	S00	0.176471	0.463235	0.643196	0.00598728	40	10	7
S09	S15	S00	0.176471	0.463235	0.643196	0.00598728	40	10	7
S09	S16	S00	0.176471	0.463235	0.643196	0.00598728	40	10	7
S09	S17	S00	0.176471	0.463235	0.643196	0.00598728	40	10	7
S09	S18	S00	0.176471	0.463235	0.643196	0.00598728	40	10	7
S09	S19	S00	0.176471	0.463235	0.643196	0.00598728	40	10	7
S10	S11	S00	0.0588235	0.203771	0.838533	0.00201182	37	9	8
S12	S10	S00	0.125	0.330719	0.740857	0.00400751	35	9	7
S13	S10	S00	0.0588235	0.165722	0.868376	0.00200778	32	9	8
S14	S10	S00	0.0588235	0.165722	0.868376	0.00200778	32	9	8
S15	S10	S00	0.0588235	0.165722	0.868376	0.00200778	33	9	8
S16	S10	S00	0.0588235	0.165722	0.868376	0.00200778	32	9	8
S17	S10	S00	0.0588235	0.165722	0.868376	0.00200778	32	9	8
S18	S10	S00	0.0588235	0.165722	0.868376	0.00200778	32	9	8
S19	S10	S00	0.0588235	0.165722	0.868376	0.00200778	32	9	8
S12	S11	S00	0.272727	0.679463	0.496845	0.00601127	71	7	4
S13	S11	S00	0.2	0.498273	0.618292	0.00401556	70	6	4
S14	S11	S00	0.2	0.498273	0.618292	0.00401556	70	6	4
S15	S11	S00	0.2	0.498273	0.618292	0.00401556	71	6	4
S16	S11	S00	0.2	0.498273	0.618292	0.00401556	70	6	4
S17	S11	S00	0.2	0.498273	0.618292	0.00401556	70	6	4
S18	S11	S00	0.2	0.498273	0.618292	0.00401556	70	6	4
S19	S11	S00	0.2	0.498273	0.618292	0.00401556	70	6	4
S00	S12	S13	0.985612	3.0452e-314	nan	0.271052	0	138	1
S00	S12	S14	0.985612	3.0452e-314	nan	0.306831	0	138	1
S00	S12	S15	0.985714	3.0452e-314	nan	0.270423	0	139	1
S00	S12	S16	0.985816	3.0452e-314	nan	0.289508	0	140	1
S00	S12	S17	0.985816	3.0452e-314	nan	0.279854	0	140	1
S00	S12	S18	0.985816	3.0452e-314	nan	0.298604	0	140	1
S00	S12	S19	0.985816	3.0452e-314	nan	0.289019	0	140	1
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
S01	S02	S03	0.333333	3.0452e-314	nan	0.00211696	171.5	2	1
S01	S02	S04	0.333333	3.0452e-314	nan	0.00209041	172.5	2	1
S01	S02	S05	0.6	3.0452e-314	nan	0.00675866	170.5	4	1
S01	S02	S06	0.6	3.0452e-314	nan	0.00654664	170.5	4	1
S01	S02	S07	0.6	3.0452e-314	nan	0.00635089	170.5	4	1
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
						3.04519e-314			
S04	S03	S01	0.2	3.04519e-314	nan	0.00223432	117	3	2
S03	S05	S01	0.333333	3.04519e-314	nan	0.00223933	123	2	1
S03	S06	S01	0.333333	3.04519e-314	nan	0.00223933	123	2	1
S03	S07	S01	0.333333	3.04519e-314	nan	0.00223933	123	2	1
S03	S01	S08	0.310345	1.2321	0.217912	0.0187476	38	19	10
S03	S01	S09	0.310345	1.181	0.237604	0.0186892	38	19	10
S10	S03	S01	0.3	1.98319	0.0473464	0.0387461	7	39	21
S03	S01	S11	0.151515	0.661247	0.508454	0.0102498	38	19	14
S03	S01	S12	0.241379	0.918692	0.358257	0.0136602	39	18	11
S03	S01	S13	0.241379	0.918692	0.358257	0.0136336	38	18	11
S03	S01	S14	0.241379	0.918692	0.358257	0.0154015	38	18	11
S03	S01	S15	0.241379	0.918692	0.358257	0.0135054	38	18	11
S03	S01	S16	0.241379	0.918692	0.358257	0.0143406	38	18	11
