P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
S02	S01	S00	0.0450237	0.733743	0.463106	0.000177103	60663.1	330.75	302.25
S03	S01	S00	0.0003885	0.00612167	0.995116	1.5538e-06	60569.2	321.875	321.625
S01	S04	S00	0.00976944	0.160621	0.872392	3.88452e-05	60573.8	323	316.75
S01	S00	S05	0.00208124	0.129761	0.896755	8.90725e-05	15286	3731.5	3716
S01	S00	S06	0.00124274	0.0756553	0.939693	5.33456e-05	15336.5	3726.25	3717
S01	S00	S07	0.00198754	0.119067	0.905223	8.52327e-05	15286.8	3718	3703.25
S00	S01	S08	0.0114403	0.762274	0.445896	0.000494165	15245.5	3768.5	3683.25
S00	S01	S09	0.00360504	0.151567	0.879529	0.000107348	21010.5	2679.5	2660.25
S01	S00	S10	0.00285996	0.121265	0.903481	8.49413e-05	21010.5	2673.75	2658.5
S00	S01	S11	0.00190374	0.0762121	0.93925	5.14646e-05	24892.8	2335.38	2326.5
S01	S00	S12	0.52878	20.9286	2.3e-16	0.0108159	41279	2881.75	888.25
S01	S00	S13	0.538077	22.4402	2.3e-16	0.0104276	40562.8	3001.75	901.5
S01	S00	S14	0.940891	309.627	2.3e-16	0.136152	34286.1	24766.2	754.25
S01	S00	S15	0.559627	22.2757	2.3e-16	0.0110764	40540	3096.25	874.25
S01	S00	S16	0.561337	23.4292	2.3e-16	0.0111308	40507.5	3105.5	872.5
S00	S01	S17	0.0890767	2.20773	0.0272634	0.000668722	44390.5	837.5	700.5
S00	S01	S18	0.0906149	2.27801	0.0227261	0.0006828	44379	842.5	702.5
S00	S01	S19	0.0900259	2.24402	0.0248308	0.000676686	44377.5	841.5	702.5
S02	S03	S00	0.0735198	1.04613	0.295499	0.000175549	70309.3	206.25	178
S02	S04	S00	0.0902012	1.32876	0.183929	0.000215941	70310.6	210	175.25
S00	S02	S05	0.00507716	0.302602	0.762193	0.000218391	15249.2	3761.25	3723.25
S00	S02	S06	0.00449303	0.252177	0.800904	0.000193208	15293	3744.75	3711.25
S00	S02	S07	0.00309348	0.172495	0.863048	0.000132917	15246.2	3729	3706
S00	S02	S08	0.0164547	1.10279	0.270119	0.000714438	15217.2	3806.75	3683.5
S00	S02	S09	0.00288829	0.120256	0.90428	8.6436e-05	20997.2	2691	2675.5
S02	S00	S10	0.000838926	0.0353342	0.971813	2.50662e-05	20992.5	2684.25	2679.75
S00	S02	S11	0.00632101	0.254648	0.798995	0.00017179	24866.3	2358.19	2328.56
S02	S00	S12	0.530041	21.2085	2.3e-16	0.0108884	41265.5	2896.75	889.75
S02	S00	S13	0.536481	21.8063	2.3e-16	0.0103957	40530.8	2998.25	904.5
S02	S00	S14	0.940683	279.348	2.3e-16	0.136189	34268.5	24777.1	757.312
S02	S00	S15	0.559849	21.8648	2.3e-16	0.0111207	40523.2	3108	877
S02	S00	S16	0.561113	22.9424	2.3e-16	0.0111555	40486.8	3113.25	875.25
S00	S02	S17	0.0826285	1.99348	0.0462093	0.00061991	44366.5	832	705
S00	S02	S18	0.0841969	2.0571	0.0396762	0.000634028	44355	837	707
S00	S02	S19	0.0836034	2.02685	0.0426781	0.000628004	44353.5	836	707
S03	S04	S00	0.12037	0.701814	0.482795	4.03989e-05	113371	30.25	23.75
S00	S03	S05	0.00476574	0.286129	0.77478	0.000204023	15261	3742.25	3706.75
S00	S03	S06	0.003737	0.222866	0.823639	0.000160046	15309	3726.75	3699
S00	S03	S07	0.00286978	0.168732	0.866007	0.000122803	15260.2	3713	3691.75
S00	S03	S08	0.0167433	1.14875	0.250661	0.000723133	15225	3787.75	3663
S00	S03	S09	0.00648374	0.270247	0.78697	0.00019239	20993.2	2677.75	2643.25
S00	S03	S10	9.41088e-05	0.00400572	0.996804	2.7852e-06	20992.8	2656.75	2656.25
S00	S03	S11	0.00537981	0.216583	0.828534	0.000144971	24877	2336	2311
S03	S00	S12	0.535769	20.9986	2.3e-16	0.0109193	41281.8	2884.75	872
S03	S00	S13	0.543952	22.2482	2.3e-16	0.0104989	40562	3001.25	886.5
S03	S00	S14	0.941457	282.436	2.3e-16	0.136217	34292.3	24772.7	747
S03	S00	S15	0.565113	22.1114	2.3e-16	0.0111823	40550.2	3106.75	863.25
S03	S00	S16	0.566432	23.1657	2.3e-16	0.0112195	40514.2	3112.5	861.5
S00	S03	S17	0.0819022	1.95064	0.0510999	0.000605267	44384.8	819	695
S00	S03	S18	0.0842105	2.02005	0.0433779	0.000624274	44372.2	824	696
S00	S03	S19	0.0836076	1.99206	0.0463641	0.000618267	44370.8	823	696
S00	S04	S05	0.0035274	0.215511	0.829369	0.000150862	15268.5	3734	3707.75
S00	S04	S06	0.00235897	0.141743	0.887283	0.00010093	15317	3718	3700.5
S00	S04	S07	0.00145314	0.0862883	0.931237	6.21241e-05	15268.5	3704.25	3693.5
S00	S04	S08	0.0152782	1.06551	0.286646	0.00065937	15234.2	3779.5	3665.75
S00	S04	S09	0.00649534	0.269437	0.787593	0.00019239	20995	2673	2638.5
S00	S04	S10	9.42863e-05	0.0040009	0.996808	2.7852e-06	20994.2	2651.75	2651.25
S00	S04	S11	0.00560466	0.225614	0.821502	0.00015077	24879	2332.5	2306.5
S04	S00	S12	0.536243	20.9161	2.3e-16	0.0109166	41285.9	2882.38	870.125
S04	S00	S13	0.544056	22.1932	2.3e-16	0.0104915	40566	2998.75	885.5
S04	S00	S14	0.941535	281.579	2.3e-16	0.136226	34299.7	24773.6	746
S04	S00	S15	0.564877	22.0894	2.3e-16	0.0111589	40551	3101	862.25
S04	S00	S16	0.566253	23.1254	2.3e-16	0.0111986	40515.5	3107.25	860.5
