P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
S01	S02	S00	0.00645161	0.228337	0.819384	7.50237e-05	40635	936	924
S01	S00	S03	0.0299321	1.08142	0.279508	0.000536507	28841	1724.75	1624.5
S01	S00	S04	0.0072971	0.308069	0.75803	0.000131072	28889.2	1691	1666.5
S01	S00	S05	0.00312175	0.133303	0.893954	5.61218e-05	28861.2	1687	1676.5
S01	S00	S06	0.00312175	0.135082	0.892547	5.62155e-05	28876.5	1687	1676.5
S01	S00	S07	0.00490269	0.210116	0.833577	8.81238e-05	28871.5	1691	1674.5
S00	S01	S08	0.0613992	1.7814	0.0748475	0.000454357	45178.5	806	712.75
S00	S01	S09	0.0704225	2.17799	0.0294069	0.000524224	45323	817	709.5
S00	S01	S10	0.07982	2.25263	0.0242825	0.000582361	45131.8	810	690.25
S00	S01	S11	0.0414123	1.01006	0.312465	0.000306172	45325.5	789	726.25
S00	S01	S12	0.0635373	1.72661	0.084238	0.000460196	45270	793	698.25
S00	S01	S13	0.0714406	1.80712	0.0707432	0.000517062	45260.8	793	687.25
S00	S01	S14	0.0740428	1.87999	0.0601092	0.000536818	45272.8	796	686.25
S00	S01	S15	0.0733682	1.84515	0.0650157	0.000531132	45271	795.5	686.75
S00	S01	S16	0.0747679	1.84578	0.0649244	0.000535905	45274	796	685.25
S00	S01	S17	0.0734177	1.81587	0.0693901	0.000533128	45275.2	795	686.25
S00	S01	S18	0.0727918	1.80127	0.0716604	0.000526474	45273.5	794	686.25
S00	S01	S19	0.0727918	1.80127	0.0716604	0.000526778	45272	794	686.25
S02	S00	S03	0.0255684	0.869997	0.384302	0.000458943	28848	1719.75	1634
S02	S00	S04	0.00192964	0.0754329	0.93987	3.47774e-05	28897.8	1687.5	1681
S00	S02	S05	0.00193022	0.0767608	0.938814	3.4744e-05	28866.8	1687	1680.5
S00	S02	S06	0.00193022	0.0775831	0.93816	3.4802e-05	28882	1687	1680.5
S00	S02	S07	0.00014839	0.00591873	0.995278	2.67065e-06	28877	1685	1684.5
S00	S02	S08	0.0762866	2.0779	0.037719	0.000561552	45175.5	813	697.75
S00	S02	S09	0.0764446	2.02784	0.0425769	0.000569332	45330.8	822	705.25
S00	S02	S10	0.0885356	2.22245	0.026253	0.000643151	45134.2	813	680.75
S00	S02	S11	0.055574	1.16963	0.24215	0.000407416	45320.8	793	709.5
S00	S02	S12	0.0774958	1.94008	0.0523705	0.000556121	45265.2	796	681.5
S00	S02	S13	0.0825127	1.94928	0.0512622	0.000594071	45261	797	675.5
S00	S02	S14	0.0844927	2.00312	0.0451642	0.000608964	45273	799	674.5
S00	S02	S15	0.083928	1.94488	0.05179	0.000603171	45270.2	797.5	674
S00	S02	S16	0.0846075	1.95727	0.0503154	0.000602439	45274.2	798	673.5
S00	S02	S17	0.083985	1.92043	0.054804	0.000605437	45274.5	797	673.5
S00	S02	S18	0.0833617	1.90815	0.056372	0.000598544	45272.8	796	673.5
S00	S02	S19	0.0833617	1.90815	0.056372	0.00059889	45271.2	796	673.5
S04	S03	S00	0.0503531	1.11845	0.263375	0.000438156	41873	855.25	773.25
S05	S03	S00	0.0356594	0.794283	0.427031	0.000309955	41857	842.25	784.25
S06	S03	S00	0.0450146	1.00752	0.313686	0.00039142	41868	850.25	777
S07	S03	S00	0.0395933	0.881333	0.378137	0.000343344	41894.8	843.5	779.25
S00	S03	S08	0.003075	0.173523	0.86224	8.405e-05	20145.8	2813.5	2796.25
S00	S03	S09	0.0167699	0.823271	0.410354	0.000452295	20216.2	2811.75	2719
S00	S03	S10	0.00371548	0.195915	0.844676	0.00010091	20107.2	2802.75	2782
S00	S03	S11	0.0212842	1.07056	0.284366	0.000583069	20230.5	2867	2747.5
S00	S03	S12	0.0153464	1.02232	0.306627	0.000420126	20230.5	2861.5	2775
S00	S03	S13	0.0262219	1.6461	0.0997423	0.000718752	20186.8	2876.5	2729.5
S00	S03	S14	0.0251741	1.61307	0.106728	0.000689671	20200.2	2871	2730
S00	S03	S15	0.0260901	1.68556	0.0918812	0.000713061	20193	2871	2725
S00	S03	S16	0.0244861	1.54507	0.12233	0.000662925	20201.5	2866	2729
S00	S03	S17	0.025916	1.64499	0.0999717	0.000710837	20197.8	2870	2725
S00	S03	S18	0.0257419	1.63819	0.101383	0.000703595	20196	2869	2725
S00	S03	S19	0.0257419	1.63819	0.101383	0.000704001	20194.5	2869	2725
S04	S05	S00	0.0752351	1.04931	0.294037	0.000128241	74754.9	171.5	147.5
S04	S06	S00	0.027668	0.394362	0.693314	4.67545e-05	74766	162.5	153.75
S04	S07	S00	0.0557738	0.81761	0.41358	9.48448e-05	74757.9	168	150.25
S00	S04	S08	0.0111675	0.580975	0.561257	0.000308183	20067.8	2863.5	2800.25
S00	S04	S09	0.0221705	1.01905	0.308177	0.000603467	20144.2	2852.75	2729
S00	S04	S10	0.0111205	0.568215	0.569889	0.000305162	20033.2	2852.75	2790
S00	S04	S11	0.0238788	1.10542	0.268976	0.000661136	20170.5	2905	2769.5
S00	S04	S12	0.0166417	0.98431	0.324963	0.000458982	20165.5	2886.5	2792
S00	S04	S13	0.0294378	1.58121	0.113829	0.000811652	20111.8	2902.5	2736.5
S00	S04	S14	0.0270486	1.4997	0.133692	0.00074592	20131	2895.25	2742.75
S00	S04	S15	0.0280639	1.56845	0.116777	0.000771668	20122	2894	2736
S00	S04	S16	0.0264607	1.44825	0.147547	0.000720991	20131.5	2890	2741
S00	S04	S17	0.028054	1.53563	0.12463	0.000774568	20127.8	2895	2737
S00	S04	S18	0.0278814	1.52799	0.126516	0.000767114	20126	2894	2737
S00	S04	S19	0.0278814	1.52799	0.126516	0.000767557	20124.5	2894	2737
S06	S05	S00	0.393548	1.94954	0.0512311	8.14901e-05	120839	27	11.75
S07	S05	S00	0.182482	0.818659	0.412981	3.33992e-05	120637	20.25	14
S00	S05	S08	0.00730379	0.376949	0.706211	0.000200989	20094.8	2844.5	2803.25
S00	S05	S09	0.0186274	0.842761	0.399362	0.000505937	20172.2	2836.75	2733
S00	S05	S10	0.00831148	0.417999	0.675948	0.000227352	20056.2	2835.75	2789
S00	S05	S11	0.0227293	1.055	0.291427	0.000626982	20187.5	2891	2762.5
S00	S05	S12	0.015988	0.970408	0.331843	0.000439554	20182.5	2875.5	2785
S00	S05	S13	0.0286579	1.58119	0.113835	0.000787205	20127.8	2889.5	2728.5
S00	S05	S14	0.0264329	1.51667	0.129351	0.000726355	20147	2883.25	2734.75
S00	S05	S15	0.027451	1.58774	0.112344	0.000752132	20138	2882	2728
S00	S05	S16	0.0260157	1.47644	0.139825	0.000706475	20147.5	2879	2733
S00	S05	S17	0.0276145	1.56474	0.117644	0.000759861	20143.8	2884	2729
S00	S05	S18	0.0274412	1.5568	0.119517	0.000752455	20142	2883	2729
S00	S05	S19	0.0274412	1.5568	0.119517	0.00075289	20140.5	2883	2729
S06	S07	S00	0.310345	1.91015	0.0561138	4.80925e-05	123949	19	10
S00	S06	S08	0.00694475	0.359326	0.719351	0.000191244	20082.5	2845.5	2806.25
S00	S06	S09	0.0177265	0.801535	0.422822	0.000481554	20160	2834.75	2736
S00	S06	S10	0.00777398	0.392204	0.694908	0.000212762	20044	2835.75	2792
S00	S06	S11	0.0209531	0.974426	0.329845	0.000578189	20178.2	2887	2768.5
S00	S06	S12	0.0143955	0.883198	0.377129	0.000395842	20172.2	2871.5	2790
S00	S06	S13	0.0270511	1.50555	0.132183	0.0007432	20117.5	2885.5	2733.5
S00	S06	S14	0.0248265	1.43725	0.150646	0.000682334	20136.8	2879.25	2739.75
S00	S06	S15	0.0258421	1.50767	0.13164	0.000708177	20127.8	2878	2733
S00	S06	S16	0.0244076	1.39757	0.162241	0.000662925	20137.2	2875	2738
S00	S06	S17	0.0260064	1.48688	0.137046	0.00071574	20133.5	2880	2734
S00	S06	S18	0.0258329	1.47885	0.139181	0.000708481	20131.8	2879	2734
S00	S06	S19	0.0258329	1.47885	0.139181	0.00070889	20130.2	2879	2734
S00	S07	S08	0.0076525	0.401065	0.688372	0.000210734	20089.5	2847.5	2804.25
S00	S07	S09	0.0187968	0.86141	0.389012	0.000510813	20167	2838.75	2734
S00	S07	S10	0.00848474	0.431419	0.666163	0.000232215	20051	2837.75	2790
S00	S07	S11	0.0221869	1.03065	0.302705	0.000612344	20184.2	2891	2765.5
S00	S07	S12	0.0154553	0.946103	0.344096	0.000424983	20178.2	2874.5	2787
S00	S07	S13	0.0281089	1.56442	0.11772	0.000772536	20124.5	2889.5	2731.5
S00	S07	S14	0.0258851	1.49912	0.133843	0.000711681	20143.8	2883.25	2737.75
S00	S07	S15	0.0269018	1.57056	0.116285	0.00073748	20134.8	2882	2731
S00	S07	S16	0.0254675	1.45945	0.144441	0.000691958	20144.2	2879	2736
S00	S07	S17	0.0270655	1.54876	0.121439	0.000745154	20140.5	2884	2732
S00	S07	S18	0.0268923	1.54077	0.123373	0.000737797	20138.8	2883	2732
S00	S07	S19	0.0268923	1.54077	0.123373	0.000738223	20137.2	2883	2732
S09	S08	S00	0.0583588	2.12733	0.0333923	0.000722272	34156.8	1339.75	1192
S08	S10	S00	0.00969128	0.351202	0.725437	0.000118631	34348.6	1263.25	1239
S11	S08	S00	0.0204896	1.13149	0.257847	0.000652656	17587.5	3324.5	3191
S12	S08	S00	0.0161733	1.00149	0.316588	0.000518284	17582.2	3330	3224
S13	S08	S00	0.0167633	0.890684	0.373098	0.000526836	17621.2	3267.75	3160
S14	S08	S00	0.0188062	1.0441	0.296437	0.000590361	17615.8	3270.75	3150
S15	S08	S00	0.0184579	1.04384	0.29656	0.000579367	17626.2	3269.25	3150.75
S16	S08	S00	0.0191903	1.04576	0.29567	0.000601355	17625.5	3266.25	3143.25
S17	S08	S00	0.0191866	1.05845	0.289851	0.000602576	17618	3273.5	3150.25
S18	S08	S00	0.0189193	1.05008	0.293683	0.000594025	17618.5	3271.75	3150.25
S19	S08	S00	0.0186901	1.03748	0.29951	0.000586696	17618.2	3270.25	3150.25
S09	S10	S00	0.0700326	4.84352	1.27562e-06	0.000840817	34333.5	1314	1142
S09	S11	S00	0.00220324	0.112289	0.910595	6.96607e-05	17621.5	3241	3226.75
S09	S12	S00	0.00639969	0.437004	0.662108	0.000204094	17619	3282.75	3241
S09	S13	S00	0.0062315	0.367619	0.713158	0.000195539	17654.2	3229.5	3189.5
S09	S14	S00	0.00421217	0.254409	0.799179	0.000131989	17644.8	3218.5	3191.5
S09	S15	S00	0.00456372	0.280347	0.779211	0.000142988	17645.5	3219.25	3190
S09	S16	S00	0.00386432	0.22935	0.818597	0.00012099	17645.8	3214.75	3190
S09	S17	S00	0.00382156	0.230956	0.817349	0.000119768	17645	3217.75	3193.25
S09	S18	S00	0.00409692	0.248688	0.803602	0.000128322	17646.5	3216.75	3190.5
S09	S19	S00	0.00433069	0.262214	0.793156	0.000135655	17645.5	3217.75	3190
S11	S10	S00	0.0243601	1.21145	0.225723	0.00077121	17615.2	3316.75	3159
S12	S10	S00	0.0200084	1.43728	0.150637	0.000636853	17724.2	3320	3189.75
S13	S10	S00	0.0208366	1.17708	0.239165	0.000645404	17759	3233.5	3101.5
S14	S10	S00	0.0228707	1.35654	0.174926	0.000708922	17751.5	3242.5	3097.5
S15	S10	S00	0.0225327	1.35516	0.175367	0.000697929	17757.2	3239	3096.25
S16	S10	S00	0.0232668	1.34921	0.177269	0.000719914	17764.5	3238	3090.75
S17	S10	S00	0.0232981	1.37368	0.169541	0.000721136	17752.8	3239.25	3091.75
S18	S10	S00	0.023028	1.36067	0.173619	0.000712586	17755.2	3237.5	3091.75
